Query,Graph_Type
"Show the sales data for the past 12 months","Line Chart"
"Compare the revenue from different product categories","Bar Chart"
"Display the market share of each company in a pie chart","Pie Chart"
"Plot the relationship between age and income","Scatter Plot"
"Visualize the distribution of customer ages","Histogram"
"Illustrate the monthly expenses over the year","Line Chart"
"Compare the population growth across different regions","Bar Chart"
"Show the percentage breakdown of expenses","Pie Chart"
"Display temperature changes throughout the day","Line Chart"
"Plot the frequency of customer visits","Histogram"
"Compare the sales performance of different regions","Bar Chart"
"Visualize the trend of stock prices over time","Line Chart"
"Display the distribution of student grades","Histogram"
"Illustrate the correlation between education level and income","Scatter Plot"
"Show the market share of different smartphone brands","Pie Chart"
"Plot the number of website visits per day","Line Chart"
"Compare the average salary across different industries","Bar Chart"
"Display the distribution of customer ratings for a product","Histogram"
"Visualize the relationship between temperature and humidity","Scatter Plot"
"Plot the monthly revenue for a specific product","Line Chart"
"Compare the sales performance of different products","Bar Chart"
"Display the distribution of customer ages by gender","Histogram"
"Illustrate the correlation between advertising expenditure and sales","Scatter Plot"
"Show the market share of different social media platforms","Pie Chart"
"Plot the number of daily steps taken by individuals","Line Chart"
"Compare the average ratings of different movies","Bar Chart"
"Display the distribution of customer satisfaction scores","Histogram"
"Visualize the relationship between temperature and air pollution","Scatter Plot"
"Plot the monthly expenses for a specific department","Line Chart"
"Show the distribution of student performance by subject","Histogram"
"Illustrate the correlation between website loading time and bounce rate","Scatter Plot"
"Compare the market share of different car manufacturers","Pie Chart"
"Display the number of daily flights for different airlines","Line Chart"
"Visualize the distribution of employee salaries","Histogram"
"Plot the relationship between customer satisfaction and loyalty","Scatter Plot"
"Show the percentage breakdown of smartphone operating systems","Pie Chart"
"Compare the sales performance of different retail stores","Bar Chart"
"Display the distribution of customer reviews for a product","Histogram"
"Illustrate the correlation between temperature and crop yield","Scatter Plot"
"Plot the monthly revenue for a specific service","Line Chart"
"Compare the average ratings of different restaurants","Bar Chart"
"Display the distribution of customer churn rates","Histogram"
"Visualize the relationship between humidity and mold growth","Scatter Plot"
"Show the market share of different music streaming platforms","Pie Chart"
"Plot the number of daily transactions for different payment methods","Line Chart"
"Compare the average ratings of different books","Bar Chart"
"Display the distribution of customer feedback scores","Histogram"
"Illustrate the correlation between temperature and energy consumption","Scatter Plot"
"Show the percentage breakdown of social media users by age group","Pie Chart"
"Compare the sales performance of different e-commerce platforms","Bar Chart"
"Display the distribution of customer complaints by category","Histogram"
"Visualize the relationship between rainfall and crop yield","Scatter Plot"
"Plot the monthly expenses for a specific project","Line Chart"
"Show the distribution of student performance by grade level","Histogram"
"Illustrate the correlation between website traffic and conversion rate","Scatter Plot"
"Compare the market share of different clothing brands","Pie Chart"
"Display the number of daily website visits for different domains","Line Chart"
"Visualize the distribution of employee tenure","Histogram"
"Plot the relationship between customer satisfaction and repeat purchase","Scatter Plot"
"Show the percentage breakdown of gaming platforms by genre","Pie Chart"
"Compare the sales performance of different software products","Bar Chart"
"Display the distribution of customer complaints by severity","Histogram"
"Illustrate the correlation between temperature and disease outbreak","Scatter Plot"
"Plot the monthly revenue for a specific region","Line Chart"
"Compare the average ratings of different music albums","Bar Chart"
"Display the distribution of customer support response times","Histogram"
"Visualize the relationship between humidity and air quality","Scatter Plot"
"Show the market share of different food delivery services","Pie Chart"
"Plot the number of daily orders for different online retailers","Line Chart"
"Compare the average ratings of different video games","Bar Chart"
"Display the distribution of customer preferences by category","Histogram"
"Illustrate the correlation between temperature and water consumption","Scatter Plot"
"Show the percentage breakdown of streaming platforms by content type","Pie Chart"
"Compare the sales performance of different airlines","Bar Chart"
"Display the distribution of customer complaints by region","Histogram"
"Visualize the relationship between temperature and wildlife population","Scatter Plot"
"Plot the monthly expenses for a specific team","Line Chart"
"Show the distribution of student performance by school","Histogram"
"Illustrate the correlation between website engagement and conversion rate","Scatter Plot"
"Compare the market share of different social networking sites","Pie Chart"
"Display the number of daily downloads for different mobile apps","Line Chart"
"Visualize the distribution of employee performance ratings","Histogram"
"Plot the relationship between customer satisfaction and customer loyalty","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user age","Pie Chart"
"Compare the sales performance of different hotel chains","Bar Chart"
"Display the distribution of customer complaints by product category","Histogram"
"Illustrate the correlation between temperature and wildlife migration","Scatter Plot"
"Plot the monthly revenue for a specific country","Line Chart"
"Compare the average ratings of different TV shows","Bar Chart"
"Display the distribution of customer preferences by brand","Histogram"
"Visualize the relationship between humidity and plant growth","Scatter Plot"
"Show the market share of different ride-sharing services","Pie Chart"
"Plot the number of daily users for different social media platforms","Line Chart"
"Compare the average ratings of different video streaming services","Bar Chart"
"Display the distribution of customer complaints by time of day","Histogram"
"Illustrate the correlation between temperature and bird migration","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user gender","Pie Chart"
"Compare the sales performance of different online marketplaces","Bar Chart"
"Display the distribution of customer complaints by customer segment","Histogram"
"Visualize the relationship between temperature and fish population","Scatter Plot"
"Plot the monthly expenses for a specific location","Line Chart"
"Show the distribution of student performance by ethnicity","Histogram"
"Illustrate the correlation between website usability and conversion rate","Scatter Plot"
"Compare the market share of different social media influencers","Pie Chart"
"Display the number of daily active users for different mobile games","Line Chart"
"Visualize the distribution of employee satisfaction scores","Histogram"
"Plot the relationship between customer satisfaction and customer retention","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user location","Pie Chart"
"Compare the sales performance of different online retailers","Bar Chart"
"Display the distribution of customer complaints by customer age","Histogram"
"Illustrate the correlation between temperature and bird population","Scatter Plot"
"Plot the monthly revenue for a specific city","Line Chart"
"Compare the average ratings of different podcasts","Bar Chart"
"Display the distribution of customer preferences by price range","Histogram"
"Visualize the relationship between humidity and insect population","Scatter Plot"
"Show the market share of different food delivery apps","Pie Chart"
"Plot the number of daily active users for different social networking sites","Line Chart"
"Compare the average ratings of different music artists","Bar Chart"
"Display the distribution of customer complaints by customer loyalty","Histogram"
"Illustrate the correlation between temperature and animal migration","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user device","Pie Chart"
"Compare the sales performance of different online courses","Bar Chart"
"Display the distribution of customer complaints by customer satisfaction","Histogram"
"Visualize the relationship between temperature and plant growth","Scatter Plot"
"Plot the monthly expenses for a specific store","Line Chart"
"Show the distribution of student performance by parental education level","Histogram"
"Illustrate the correlation between website design and conversion rate","Scatter Plot"
"Compare the market share of different social media platforms by user age","Pie Chart"
"Display the number of daily active users for different dating apps","Line Chart"
"Visualize the distribution of employee productivity scores","Histogram"
"Plot the relationship between customer satisfaction and customer advocacy","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user income","Pie Chart"
"Compare the sales performance of different online travel agencies","Bar Chart"
"Display the distribution of customer complaints by customer location","Histogram"
"Illustrate the correlation between temperature and animal population","Scatter Plot"
"Plot the monthly revenue for a specific state","Line Chart"
"Compare the average ratings of different podcasts genres","Bar Chart"
"Display the distribution of customer preferences by age group","Histogram"
"Visualize the relationship between humidity and bird population","Scatter Plot"
"Show the market share of different ride-hailing services","Pie Chart"
"Plot the number of daily active users for different music streaming platforms","Line Chart"
"Compare the average ratings of different TV series","Bar Chart"
"Display the distribution of customer complaints by customer feedback","Histogram"
"Illustrate the correlation between temperature and plant species diversity","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user education level","Pie Chart"
"Compare the sales performance of different online marketplaces by category","Bar Chart"
"Display the distribution of customer complaints by customer loyalty level","Histogram"
"Visualize the relationship between temperature and animal species diversity","Scatter Plot"
"Plot the monthly expenses for a specific country","Line Chart"
"Show the distribution of student performance by school district","Histogram"
"Illustrate the correlation between website content and conversion rate","Scatter Plot"
"Compare the market share of different social media platforms by user gender","Pie Chart"
"Display the number of daily active users for different fitness apps","Line Chart"
"Visualize the distribution of employee engagement scores","Histogram"
"Plot the relationship between customer satisfaction and customer referrals","Scatter Plot"
"Show the percentage breakdown of streaming platforms by user location","Pie Chart"
"Compare the sales performance of different online retailers by product category","Bar Chart"
"Display the distribution of customer complaints by customer age group","Histogram"
