Query,Graph_Type
"Plot the relationship between age and income","Scatter Plot"
"Plot the relationship between age and income","Line Graph"
"Show the distribution of sales over the year","Bar Chart"
"Compare the market share of different companies","Pie Chart"
"Analyze the trend of temperature changes over a decade","Line Graph"
"Visualize the correlation between height and weight","Scatter Plot"
"Display the frequency of different categories","Histogram"
"Show the monthly revenue growth","Line Graph"
"Compare the sales performance of different regions","Bar Chart"
"Visualize the distribution of customer ages","Histogram"
"Analyze the trend of stock prices over the last year","Line Graph"
"Plot the relationship between advertising spend and sales","Scatter Plot"
"Show the distribution of product ratings","Bar Chart"
"Compare the number of products sold by category","Pie Chart"
"Display the frequency of website visits","Histogram"
"Analyze the trend of website traffic over time","Line Graph"
"Visualize the correlation between study time and exam scores","Scatter Plot"
"Show the distribution of employee salaries","Histogram"
"Compare the performance of different marketing campaigns","Bar Chart"
"Analyze the trend of monthly expenses","Line Graph"
"Plot the relationship between hours worked and productivity","Scatter Plot"
"Show the distribution of customer satisfaction scores","Bar Chart"
"Compare the sales of different product lines","Pie Chart"
"Display the frequency of different error types","Histogram"
"Analyze the trend of energy consumption","Line Graph"
"Visualize the correlation between exercise and weight loss","Scatter Plot"
"Show the distribution of project completion times","Histogram"
"Compare the revenue generated by different departments","Bar Chart"
"Analyze the trend of daily temperature changes","Line Graph"
"Plot the relationship between marketing budget and revenue","Scatter Plot"
"Show the distribution of test scores","Bar Chart"
"Compare the number of visitors to different stores","Pie Chart"
"Display the frequency of different complaint types","Histogram"
"Analyze the trend of monthly sales","Line Graph"
"Visualize the correlation between hours of sleep and productivity","Scatter Plot"
"Show the distribution of ages in a survey","Histogram"
"Compare the performance of different sales teams","Bar Chart"
"Analyze the trend of weekly sales","Line Graph"
"Plot the relationship between customer age and purchase amount","Scatter Plot"
"Show the distribution of response times","Bar Chart"
"Compare the market share of different brands","Pie Chart"
"Display the frequency of different transaction types","Histogram"
"Analyze the trend of quarterly profits","Line Graph"
"Visualize the correlation between study hours and grades","Scatter Plot"
"Show the distribution of employee ages","Histogram"
"Compare the sales of different regions","Bar Chart"
"Analyze the trend of monthly revenue","Line Graph"
"Plot the relationship between advertising spend and customer acquisition","Scatter Plot"
"Show the distribution of product prices","Bar Chart"
"Compare the number of units sold by category","Pie Chart"
"Display the frequency of different survey responses","Histogram"
"Analyze the trend of daily sales","Line Graph"
"Visualize the correlation between training hours and performance","Scatter Plot"
"Show the distribution of customer feedback scores","Histogram"
"Compare the revenue of different product lines","Bar Chart"
"Analyze the trend of annual sales","Line Graph"
"Plot the relationship between social media activity and sales","Scatter Plot"
"Show the distribution of employee performance ratings","Bar Chart"
"Compare the market share of different products","Pie Chart"
"Display the frequency of different service requests","Histogram"
"Analyze the trend of monthly website visits","Line Graph"
"Visualize the correlation between hours of practice and skill level","Scatter Plot"
"Show the distribution of customer ages in a survey","Histogram"
"Compare the performance of different advertising channels","Bar Chart"
"Analyze the trend of weekly revenue","Line Graph"
"Plot the relationship between customer satisfaction and loyalty","Scatter Plot"
"Show the distribution of sales by region","Bar Chart"
"Compare the number of complaints by category","Pie Chart"
"Display the frequency of different feedback types","Histogram"
"Analyze the trend of monthly expenses","Line Graph"
"Visualize the correlation between hours of study and exam results","Scatter Plot"
"Show the distribution of employee ages in a company","Histogram"
"Compare the sales performance of different stores","Bar Chart"
"Analyze the trend of daily revenue","Line Graph"
"Plot the relationship between marketing spend and sales growth","Scatter Plot"
"Show the distribution of product reviews","Bar Chart"
"Compare the number of units sold by product line","Pie Chart"
"Display the frequency of different customer inquiries","Histogram"
"Analyze the trend of quarterly revenue","Line Graph"
"Visualize the correlation between hours of work and output","Scatter Plot"
"Show the distribution of customer satisfaction ratings","Histogram"
"Compare the revenue generated by different regions","Bar Chart"
"Analyze the trend of monthly profits","Line Graph"
"Plot the relationship between advertising budget and sales","Scatter Plot"
"Show the distribution of employee performance scores","Bar Chart"
"Compare the market share of different services","Pie Chart"
"Display the frequency of different transaction types","Histogram"
"Analyze the trend of annual revenue","Line Graph"
"Visualize the correlation between training hours and productivity","Scatter Plot"
"Show the distribution of customer feedback ratings","Histogram"
"Compare the sales of different product categories","Bar Chart"
"Analyze the trend of monthly sales growth","Line Graph"
"Plot the relationship between social media engagement and sales","Scatter Plot"
"Show the distribution of employee ages in a survey","Histogram"
"Compare the performance of different marketing strategies","Bar Chart"
"Analyze the trend of weekly profits","Line Graph"
"Visualize the correlation between hours of sleep and work performance","Scatter Plot"
